channel #;FEE address;group;Cell;coordinate X in mm;coordinate Y in mm;coordinate Z in mm;HV board;HV board channel;PMT S/N;Module Type;FEE module;PM channel;DIM position;FEE ID;Link ID;EP ID;CRU ID;orientation;Signal channel;Detector quarter;Long signal cable #;Signal PP line #;Signal PP column #;I-V curve offset (a);I-V curve slope (b);Long HV cable #;Splitter box #;Splitter box output;Local attenuator (dB);Splitter box output intensity;Patch-cord label (C34->PM)
0;PMA5/Ch02;A-side Inner ring;A-B3;59.75;-13.25;3400;1;7;2180;PM;A5;2;26;64165;5;0;1106;2;FTA-B3-4;FTA-I;32;3;14;-4.47;0.21;8;OC-205;38;2;1.26;A32/3.14/5 02
1;PMA5/Ch04;A-side Inner ring;A-B3;86.25;-13.25;3400;1;7;2180;PM;A5;4;66;64165;5;0;1106;2;FTA-B3-1;FTA-I;29;3;13;-4.47;0.21;8;OC-205;18;2;0.71;A29/3.13/5 04
2;PMA5/Ch03;A-side Inner ring;A-B3;86.25;13.25;3400;1;7;2180;PM;A5;3;46;64165;5;0;1106;2;FTA-B3-2;FTA-I;30;1;11;-4.47;0.21;8;OC-205;35;0;0.98;A30/1.11/5 03
3;PMA5/Ch01;A-side Inner ring;A-B3;59.75;13.25;3400;1;7;2180;PM;A5;1;6;64165;5;0;1106;2;FTA-B3-3;FTA-I;31;2;13;-4.47;0.21;8;OC-205;14;3;1.79;A31/2.13/5 01
4;PMA6/Ch03;A-side Inner ring;A-B2;74.25;47.75;3400;1;6;2185;PM;A6;3;47;64166;6;0;1106;3;FTA-B2-2;FTA-I;26;2;11;-5.71;0.21;7;OC-205;60;0;0.9;A26/2.11/6 03
5;PMA6/Ch01;A-side Inner ring;A-B2;47.75;47.75;3400;1;6;2185;PM;A6;1;7;64166;6;0;1106;3;FTA-B2-1;FTA-I;25;1;12;-5.71;0.21;7;OC-205;57;2;1.35;A25/1.12/6 01
6;PMA6/Ch04;A-side Inner ring;A-B2;74.25;74.25;3400;1;6;2185;PM;A6;4;67;64166;6;0;1106;3;FTA-B2-3;FTA-I;27;1;13;-5.71;0.21;7;OC-205;6;0;0.9;A27/1.13/6 04
7;PMA6/Ch02;A-side Inner ring;A-B2;47.75;74.25;3400;1;6;2185;PM;A6;2;27;64166;6;0;1106;3;FTA-B2-4;FTA-I;28;4;14;-5.71;0.21;7;OC-205;42;0;0.9;A28/4.14/6 02
8;PMA7/Ch02;A-side Inner ring;A-C2;13.25;60.75;3400;1;11;2163;PM;A7;2;28;64167;7;0;1106;2;FTA-C2-1;FTA-I;45;4;15;-9.4;0.23;12;OC-205;28;5;1.56;A45/4.15/7 02
9;PMA7/Ch04;A-side Inner ring;A-C2;13.25;87.25;3400;1;11;2163;PM;A7;4;68;64167;7;0;1106;2;FTA-C2-2;FTA-I;46;2;14;-9.4;0.23;12;OC-205;5;0;0.74;A46/2.14/7 04
